SampleID,SampleAndRun,Sample,experiment,origin_site,tank,treatment,genotype
7CM1,01-acer2Run1,01-acer2,acer2,MUN,1,2,7
8AM,02-acer2Run1,02-acer2,acer2,MUN,1,2,50
12EN,03-acer2Run1,03-acer2,acer2,NUR,1,2,7
14AN,04-acer2Run1,04-acer2,acer2,NUR,1,2,31
18AN,05-acer2Run1,05-acer2,acer2,NUR,1,2,50
14BM,07-acer2Run1,07-acer2,acer2,MUN,2,6,50
21EM,08-acer2Run1,08-acer2,acer2,MUN,2,6,7
10CN,11-acer2Run1,11-acer2,acer2,NUR,2,6,50
7BN2,12-acer2Run1,12-acer2,acer2,NUR,2,6,77
4DM,15-acer2Run1,15-acer2,acer2,MUN,3,0,31
17BN,18-acer2Run1,18-acer2,acer2,NUR,3,0,31
25CN,19-acer2Run1,19-acer2,acer2,NUR,3,0,50
7BN1,20-acer2Run1,20-acer2,acer2,NUR,3,0,77
7EM,22-acer2Run1,22-acer2,acer2,MUN,4,4,7
10CM1,23-acer2Run1,23-acer2,acer2,MUN,4,4,31
20AN,24-acer2Run1,24-acer2,acer2,NUR,4,4,7
22AN,25-acer2Run1,25-acer2,acer2,NUR,4,4,31
18EN,26-acer2Run1,26-acer2,acer2,NUR,4,4,50
10DM,27-acer2Run1,27-acer2,acer2,MUN,5,6,31
20BM,28-acer2Run1,28-acer2,acer2,MUN,5,6,31
21CM,29-acer2Run1,29-acer2,acer2,MUN,5,6,7
3DN,31-acer2Run1,31-acer2,acer2,NUR,5,6,7
13DN,33-acer2Run1,33-acer2,acer2,NUR,5,6,50
4DN,34-acer2Run1,34-acer2,acer2,NUR,5,6,77
5CN2,36-acer2Run1,36-acer2,acer2,NUR,6,0,31
1CM,37-acer2Run1,37-acer2,acer2,MUN,7,4,7
10CM2,38-acer2Run1,38-acer2,acer2,MUN,7,4,31
15AM1,40-acer2Run1,40-acer2,acer2,MUN,7,4,77
12BN,41-acer2Run1,41-acer2,acer2,NUR,7,4,7
17AN,42-acer2Run1,42-acer2,acer2,NUR,7,4,31
23BN2,44-acer2Run1,44-acer2,acer2,NUR,7,4,77
11CM1,46-acer2Run1,46-acer2,acer2,MUN,8,2,31
5CN1,49-acer2Run1,49-acer2,acer2,NUR,8,2,31
18DN,50-acer2Run1,50-acer2,acer2,NUR,8,2,50
4EN,51-acer2Run1,51-acer2,acer2,NUR,8,2,77
7CM2,54-acer2Run1,54-acer2,acer2,MUN,9,6,7
10BN,57-acer2Run1,57-acer2,acer2,NUR,9,6,50
B,BLANKRun1,BLANK,blank,blank,,blank,blank
15CN,06-acer2Run2,06-acer2,acer2,NUR,1,2,77
24AN,09-acer2Run2,09-acer2,acer2,NUR,2,6,7
17CN,10-acer2Run2,10-acer2,acer2,NUR,2,6,31
2CM,14-acer2Run2,14-acer2,acer2,MUN,3,0,50
20AM1,16-acer2Run2,16-acer2,acer2,MUN,3,0,77
2BM,21-acer2Run2,21-acer2,acer2,MUN,4,4,50
25DM1,30-acer2Run2,30-acer2,acer2,MUN,5,6,50
22CN,32-acer2Run2,32-acer2,acer2,NUR,5,6,31
23AM1,35-acer2Run2,35-acer2,acer2,MUN,6,0,31
14AM,39-acer2Run2,39-acer2,acer2,MUN,7,4,50
1AN,43-acer2Run2,43-acer2,acer2,NUR,7,4,50
8BM,45-acer2Run2,45-acer2,acer2,MUN,8,2,50
17DM,47-acer2Run2,47-acer2,acer2,MUN,8,2,7
3CN,48-acer2Run2,48-acer2,acer2,NUR,8,2,7
2EM,52-acer2Run2,52-acer2,acer2,MUN,9,6,50
4AM,53-acer2Run2,53-acer2,acer2,MUN,9,6,31
3AN,55-acer2Run2,55-acer2,acer2,NUR,9,6,7
14BN,56-acer2Run2,56-acer2,acer2,NUR,9,6,31
15BN,58-acer2Run2,58-acer2,acer2,NUR,9,6,77
11DM,59-acer2Run2,59-acer2,acer2,MUN,10,0,31
14CM,60-acer2Run2,60-acer2,acer2,MUN,10,0,50
20AM2,61-acer2Run2,61-acer2,acer2,MUN,10,0,77
22BN,62-acer2Run2,62-acer2,acer2,NUR,10,0,31
3BM2,63-acer2Run2,63-acer2,acer2,MUN,11,4,77
23AM2,64-acer2Run2,64-acer2,acer2,MUN,11,4,31
25DM2,65-acer2Run2,65-acer2,acer2,MUN,11,4,50
6EN,66-acer2Run2,66-acer2,acer2,NUR,11,4,7
5AN,67-acer2Run2,67-acer2,acer2,NUR,11,4,31
1BN,68-acer2Run2,68-acer2,acer2,NUR,11,4,50
23BN1,69-acer2Run2,69-acer2,acer2,NUR,11,4,77
13AM,71-acer2Run2,71-acer2,acer2,MUN,12,2,7
16DM,72-acer2Run2,72-acer2,acer2,MUN,12,2,50
24BM,73-acer2Run2,73-acer2,acer2,MUN,12,2,77
6BN,74-acer2Run2,74-acer2,acer2,NUR,12,2,7
8CN,75-acer2Run2,75-acer2,acer2,NUR,12,2,31
1DN,76-acer2Run2,76-acer2,acer2,NUR,12,2,50
16AN,77-acer2Run2,77-acer2,acer2,NUR,12,2,77
