""	"input"	"filtered"	"denoised"	"merged"	"tabled"	"nonchim"
"01-acer2Run1"	104347	92381	91791	89855	89855	86992
"02-acer2Run1"	4649	4199	4130	3941	3941	3924
"03-acer2Run1"	40419	35299	35204	34634	34634	34170
"04-acer2Run1"	6854	6242	5981	5305	5305	5185
"05-acer2Run1"	90487	82470	82321	81493	81493	81102
"06-acer2Run2"	67845	28636	28546	27816	27816	27435
"07-acer2Run1"	9933	9477	9462	9390	9390	9339
"08-acer2Run1"	35992	33067	33026	32548	32548	32248
"09-acer2Run2"	69390	29217	29054	27940	27940	27514
"10-acer2Run2"	84193	35658	35485	34112	34112	33255
"11-acer2Run1"	115509	107793	107485	106281	106281	105235
"12-acer2Run1"	195578	182794	182342	179659	179659	176895
"14-acer2Run2"	42800	17394	17351	16725	16725	16364
"15-acer2Run1"	221839	201713	200851	195930	195930	186924
"16-acer2Run2"	121580	50243	49928	47628	47628	46175
"18-acer2Run1"	112555	101193	100896	99236	99236	97155
"19-acer2Run1"	51289	45402	45289	44566	44566	43958
"20-acer2Run1"	29802	27506	27309	26780	26780	26250
"21-acer2Run2"	92260	39665	39558	38434	38434	37294
"22-acer2Run1"	9418	8856	8835	8690	8690	8601
"23-acer2Run1"	95117	88271	88147	84838	84838	84044
"24-acer2Run1"	23906	21465	21385	21005	21005	20952
"25-acer2Run1"	17343	15721	15695	15457	15457	15342
"26-acer2Run1"	62718	57314	57174	55815	55815	55179
"27-acer2Run1"	3076	2790	2788	2743	2743	2730
"28-acer2Run1"	99090	90762	90707	89946	89946	89598
"29-acer2Run1"	33802	31233	31187	30833	30833	30686
"30-acer2Run2"	142333	60531	60354	58419	58419	56232
"31-acer2Run1"	11310	10292	10278	10136	10136	9894
"32-acer2Run2"	137636	59305	59102	56986	56986	54795
"33-acer2Run1"	72870	65929	65748	64152	64152	62825
"34-acer2Run1"	109516	98909	98781	97374	97374	97026
"35-acer2Run2"	232953	99993	99761	92020	92020	80414
"36-acer2Run1"	98503	91324	91145	89082	89082	84258
"37-acer2Run1"	137135	122129	121682	118928	118928	116369
"38-acer2Run1"	128350	115274	115030	113108	113108	111707
"39-acer2Run2"	77674	34065	33926	32880	32880	31304
"40-acer2Run1"	26519	24311	24290	23923	23923	23798
"41-acer2Run1"	226161	205951	205434	201140	201140	194825
"42-acer2Run1"	49394	45480	45394	44706	44706	44523
"43-acer2Run2"	86431	36387	36155	34002	34002	32833
"44-acer2Run1"	23038	21146	21075	20766	20766	20628
"45-acer2Run2"	91969	38548	38394	36959	36959	35361
"46-acer2Run1"	165069	150903	150328	147266	147266	139891
"47-acer2Run2"	101063	43210	43070	41831	41831	40064
"48-acer2Run2"	129264	55642	55404	53179	53179	50592
"49-acer2Run1"	237417	215767	215274	211889	211889	203826
"50-acer2Run1"	65386	56351	54678	53537	53537	51761
"51-acer2Run1"	78903	71751	71629	70369	70369	69330
"52-acer2Run2"	31579	14844	14809	14599	14599	13913
"53-acer2Run2"	138848	58270	58051	55266	55266	51874
"54-acer2Run1"	142771	125897	125730	123762	123762	123061
"55-acer2Run2"	70487	29306	29180	28058	28058	26739
"56-acer2Run2"	85838	36094	35946	34415	34415	32745
"57-acer2Run1"	129151	117082	116964	115272	115272	114735
"58-acer2Run2"	93610	40079	39954	38813	38813	37383
"59-acer2Run2"	40882	17280	17257	16472	16472	16298
"60-acer2Run2"	80388	35725	35462	33963	33963	32124
"61-acer2Run2"	105308	46617	46500	44227	44227	40991
"62-acer2Run2"	172941	76830	76717	73744	73744	70108
"63-acer2Run2"	89984	39532	39404	38226	38226	36100
"64-acer2Run2"	94570	41065	40978	39808	39808	38036
"65-acer2Run2"	57653	24562	24398	23288	23288	22284
"66-acer2Run2"	71853	31455	31379	30562	30562	29451
"67-acer2Run2"	15408	6656	6601	6359	6359	6184
"68-acer2Run2"	101099	43514	43409	42116	42116	40043
"69-acer2Run2"	162588	70855	70712	68839	68839	67377
"71-acer2Run2"	12705	4830	4809	4721	4721	4708
"72-acer2Run2"	39289	16939	16779	15967	15967	14728
"73-acer2Run2"	115088	44558	44449	43244	43244	42784
"74-acer2Run2"	35885	15526	15475	15009	15009	14079
"75-acer2Run2"	112534	46889	46681	45082	45082	43050
"76-acer2Run2"	14716	5966	5933	5764	5764	5708
"77-acer2Run2"	76457	31972	31824	30401	30401	28990
"BLANKRun1"	8974	8296	8273	8189	8189	8088
